Id;Designator;Package;Quantity;Designation;Supplier and ref
1;BT1;PinHeader_1x02_P2.54mm_Vertical;1;Battery_Cell;
2;J4;PinHeader_1x02_P2.54mm_Vertical;1;conn_supercap_meas_volt;
3;C1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10 nF;
4;C2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;470 nF;
5;C3,C4,CREF2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;100 nF;
6;C5,C6;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;2;1u;
7;CBYP1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;0.1 uF;
8;Cin1_1;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;1 uF;
9;CIN1_2,CSTORE2;CP_Elec_6.3x5.3;2;4.7 uF;
10;CSTORE1;CP_Elec_6.3x5.3;1;47 uF;
11;SolarPanel IN;PinHeader_1x02_P2.54mm_Vertical;1;conn_solarpanel;
12;meas;PinHeader_1x02_P2.54mm_Vertical;1;conn_meas_solarpanel;
13;J3;PinHeader_1x02_P2.54mm_Vertical;1;output_connect_pins;
14;J5;PinHeader_1x02_P2.54mm_Vertical;1;conn_meas_VREF_Sample;
15;J6;PinHeader_1x02_P2.54mm_Vertical;1;conn_meas_battery;
16;3.3V;PinHeader_1x08_P2.54mm_Vertical;1;Conn_3V3_2;
17;;PinHeader_1x08_P2.54mm_Vertical;1;Conn_3V3;
18;GND;PinHeader_1x08_P2.54mm_Vertical;1;Conn_GND;
19;;PinHeader_1x08_P2.54mm_Vertical;1;Conn_GND_2;
20;L1,L2;L_Coilcraft_XxL4040;2;22 uH;
21;R1;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;10 M;
22;R2;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;560 K;
23;R3;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;2.7 M;
24;R4;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;3.9 M;
25;R5;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;1.5 M;
26;R6;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;7.5 M;
27;R7;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;3.3 M;
28;ROK1;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;5.23;
29;ROK2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;6.34 M;
30;ROK3;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;1.3 M;
31;ROV1;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;5.62 M;
32;ROV2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;7.32 M;
33;SUPERCAP;CP_Radial_D8.0mm_P3.50mm;1;3.3 F;
34;SPV1050;QFN40P300X300X100-21N;1;SPV1050TTR;
35;;BQ25505RGRR;1;BQ25505RGRR;
36;;AP7365-WG-7;1;AP7365;
